"Blue Pearl Amulet",碧珠護身符
"Marble Amulet",理石護身符
"Jet Amulet",傑特護身符
"Paua Amulet",海靈護身符
"Citrine Amulet",黃晶護身符
"Ruby Amulet",血色護身符
"Coral Amulet",珊瑚護身符
"Amber Amulet",琥珀護身符
"Jade Amulet",翠玉護身符
"Lapis Amulet",海玉護身符
"Gold Amulet",帝金護身符
"Onyx Amulet",黑曜護身符
"Turquoise Amulet",青玉護身符
"Agate Amulet",瑪瑙護身符
"Black Maw Talisman",黑牙魔符
"Mandible Talisman",巨顎魔符
"Chrysalis Talisman",蟲蛹魔符
"Writhing Talisman",狂癲魔符
"Bonespire Talisman",脊骨魔符
"Ashscale Talisman",灰燼魔符
"Lone Antler Talisman",孤角魔符
"Deep One Talisman",深淵魔符
"Breakrib Talisman",碎骨魔符
"Deadhand Talisman",亡手魔符
"Undying Flesh Talisman",不朽魔符
"Rot Head Talisman",腐首魔符
"Hexclaw Talisman",幻爪魔符
"Primal Skull Talisman",皇骨魔符
"Wereclaw Talisman",亡爪魔符
"Splitnewt Talisman",斷螈魔符
"Clutching Talisman",咒箍魔符
"Avian Twins Talisman",雙子魔符
"Fangjaw Talisman",齒鯊魔符
"Horned Talisman",尖角魔符
"Spinefuse Talisman",潛能魔符
"Three Rat Talisman",三鼠魔符
"Monkey Twins Talisman",雙猴魔符
"Longtooth Talisman",長牙魔符
"Rotfeather Talisman",死羽魔符
"Monkey Paw Talisman",猴掌魔符
"Three Hands Talisman",三手魔符
"Greatwolf Talisman",狼王魔符
"Rustic Sash",素布腰帶
"Chain Belt",扣鏈腰帶
"Leather Belt",皮革腰帶
"Heavy Belt",重革腰帶
"Cloth Belt",飾布腰帶
"Studded Belt",扣釘腰帶
"Stygian Vise",冥河腰帶
"Vanguard Belt",先鋒腰帶
"Crystal Belt",水晶腰帶
"Golden Obi",金羽腰帶
"Breach Ring",裂痕戒指
"Iron Ring",鍛鐵戒指
"Amethyst Ring",紫晶戒指
"Diamond Ring",寶鑽戒指
"Two-Stone Ring",雙玉戒指
"Unset Ring",潛能之戒
"Coral Ring",珊瑚戒指
"Paua Ring",海靈戒指
"Gold Ring",金光戒指
"Topaz Ring",黃玉戒指
"Sapphire Ring",藍玉戒指
"Ruby Ring",紅玉戒指
"Prismatic Ring",三相戒指
"Moonstone Ring",月光石戒指
"Steel Ring",鋼鑄戒指
"Opal Ring",蛋白石戒指
"Vermillion Ring",朱紅戒指
"Cerulean Ring",碧藍戒指
"Golden Hoop",金環
"Astrolabe Amulet",星盤護身符
"Simplex Amulet",簡純護身符
"Cogwork Ring",齒輪戒指
"Geodesic Ring",大地戒指
"Jet Ring",傑特戒指
"Micro-Distillery Belt",微釀腰帶
"Mechalarm Belt",機械腰帶
"Thief's Trinket",盜賊飾品
"Seaglass Amulet",海鏡項鍊
"Iolite Ring",混青石戒指
"Unset Amulet",夕暮護身符
